region,district,ward,street
Dodoma,Kondoa,Bumbuta,
Dodoma,Kondoa,Pahi,
Dodoma,Kondoa,Haubi,
Dodoma,Kondoa,Kalamba,
Dodoma,Kondoa,Kwadelo,
Dodoma,Kondoa,Masange,
Dodoma,Kondoa,Kikilo,
Dodoma,Kondoa,Bereko,
Dodoma,Kondoa,Kisese,
Dodoma,Kondoa,Kikore,
Dodoma,Kondoa,Serya,
Dodoma,Kondoa,Kilimani,
Dodoma,Kondoa,Chemchem,
Dodoma,Kondoa,Hondo mairo,
Dodoma,Kondoa,Bolisa,
Dodoma,Kondoa,Kinyasi,
Dodoma,Kondoa,Salanka,
Dodoma,Kondoa,Itololo,
Dodoma,Kondoa,Itaswi,
Dodoma,Kondoa,Suruke,
Dodoma,Kondoa,Kingale,
Dodoma,Kondoa,Kondoa mjini,
Dodoma,Kondoa,Kolo,
Dodoma,Kondoa,Changaa,
Dodoma,Kondoa,Thawi,
Dodoma,Kondoa,Mnenia,
Dodoma,Kondoa,Soera,
Dodoma,Mpwapwa,Mazae,
Dodoma,Mpwapwa,Vingh'awe,
Dodoma,Mpwapwa,Matomondo,
Dodoma,Mpwapwa,Kimagai,
Dodoma,Mpwapwa,Kibakwe,
Dodoma,Mpwapwa,Lumuma,
Dodoma,Mpwapwa,Luhundwa,
Dodoma,Mpwapwa,Massa,
Dodoma,Mpwapwa,Ipera,
Dodoma,Mpwapwa,Rudi,
Dodoma,Mpwapwa,Mlunduzi,
Dodoma,Mpwapwa,Wotta,
Dodoma,Mpwapwa,Mima,
Dodoma,Mpwapwa,Berege,
Dodoma,Mpwapwa,Chunyu,
Dodoma,Mpwapwa,Mbuga,
Dodoma,Mpwapwa,Godegode,
Dodoma,Mpwapwa,Mpwapwa,
Dodoma,Mpwapwa,Lupeta,
Dodoma,Mpwapwa,Gulwe,
Dodoma,Mpwapwa,Nghambi,
Dodoma,Mpwapwa,Chitemo,
Dodoma,Mpwapwa,Iwondo,
Dodoma,Mpwapwa,Kingiti,
Dodoma,Mpwapwa,Lufu,
Dodoma,Mpwapwa,Pwaga,
Dodoma,Mpwapwa,Galigali,
Dodoma,Mpwapwa,Mtera,
Dodoma,Mpwapwa,Chipogoro,
Dodoma,Mpwapwa,Malolo,
Dodoma,Kongwa,Kongwa,
Dodoma,Kongwa,Sejeli,
Dodoma,Kongwa,Hogoro,
Dodoma,Kongwa,Zoissa,
Dodoma,Kongwa,Mkoka,
Dodoma,Kongwa,Njoge,
Dodoma,Kongwa,Mtanana,
Dodoma,Kongwa,Pandambili,
Dodoma,Kongwa,Mlali,
Dodoma,Kongwa,Iduo,
Dodoma,Kongwa,Sagara,
Dodoma,Kongwa,Kibaigwa,
Dodoma,Kongwa,Ugogoni,
Dodoma,Kongwa,Chamkoroma,
Dodoma,Kongwa,Makawa,
Dodoma,Kongwa,Chitego,
Dodoma,Kongwa,Matongoro,
Dodoma,Kongwa,Ngomai,
Dodoma,Kongwa,Songambele,
Dodoma,Kongwa,Chiwe,
Dodoma,Kongwa,Lenjulu,
Dodoma,Kongwa,Nghumbi,
Dodoma,Chamwino,Haneti,
Dodoma,Chamwino,Segala,
Dodoma,Chamwino,Itiso,
Dodoma,Chamwino,Dabalo,
Dodoma,Chamwino,Membe,
Dodoma,Chamwino,Msanga,
Dodoma,Chamwino,Chilonwa,
Dodoma,Chamwino,Buigiri,
